ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
401,0,0,2,0,-0.612435065,neg,104,Negative
402,3,5,7,3,1.120575397,pos,213,Positive
403,6,1,8,0,1.708313492,pos,148,Positive
404,2,2,4,1,-0.795833333,neg,158,Negative
405,5,0,2,1,1.195833333,pos,101,Positive
406,2,2,0,1,0.649431818,pos,90,Positive
407,2,2,2,1,0.477275132,pos,220,Positive
408,1,0,1,0,-0.570833333,neg,65,Negative
409,5,0,0,0,1.535800866,pos,75,Positive
410,22,14,7,1,2.726577381,pos,386,Positive
411,5,0,4,0,0.834180736,pos,203,Positive
412,1,2,2,0,2.225,pos,77,Positive
413,0,0,2,1,-0.530555556,neg,9,Negative
414,2,2,0,0,0.766714286,pos,66,Positive
415,1,1,1,0,1.55,pos,43,Positive
416,1,0,3,0,0.65,pos,81,Positive
417,2,1,1,1,2.596995551,pos,109,Positive
418,3,4,4,0,1.811844136,pos,342,Positive
419,7,0,4,0,1.048680556,pos,186,Positive
420,3,5,7,1,1.238690476,pos,224,Positive
421,1,0,1,0,0.523181818,pos,86,Positive
422,4,4,4,0,4.653174603,pos,218,Positive
423,8,0,0,0,1.597884615,pos,118,Positive
424,9,3,7,3,1.363633787,pos,299,Positive
425,2,1,0,0,1.299702381,pos,60,Positive
426,3,0,1,1,1.374583333,pos,126,Positive
427,9,2,1,0,4.550138889,pos,99,Positive
428,0,0,5,2,-1.505208333,neg,91,Negative
429,7,7,2,1,1.391053241,pos,203,Positive
430,1,1,4,0,0.180573593,pos,124,Neutral
431,3,0,9,0,-0.459872835,neg,186,Negative
432,0,2,4,3,-1.351041667,neg,102,Negative
433,14,7,10,3,2.867264735,pos,397,Positive
434,3,0,2,3,0.885277778,pos,70,Positive
435,13,2,5,0,4.341666667,pos,282,Positive
436,3,1,0,0,0.793988095,pos,96,Positive
437,1,0,3,0,0.367083333,pos,32,Positive
438,5,0,5,1,1.282291667,pos,123,Positive
439,7,1,2,0,1.49,pos,110,Positive
440,0,2,6,0,-0.164204545,neg,156,Neutral
441,7,2,1,0,0.936388889,pos,70,Positive
442,12,1,8,0,0.339173753,pos,239,Positive
443,4,0,1,1,0.97734127,pos,104,Positive
444,1,0,2,2,-0.824285714,neg,105,Negative
445,2,2,2,0,-0.066269841,neg,98,Neutral
446,0,0,2,0,-2.010185185,neg,95,Negative
447,5,0,0,0,1.276298701,pos,80,Positive
448,2,1,2,0,-0.65,neg,47,Negative
449,2,0,2,0,1.245238095,pos,59,Positive
450,8,0,4,2,1.694563492,pos,170,Positive
451,1,2,1,0,0.27281746,pos,60,Positive
452,0,0,2,1,0.017045455,pos,79,Neutral
453,4,0,3,0,-0.082291667,neg,146,Neutral
454,9,5,6,4,-0.0931794,neg,333,Neutral
455,10,6,0,1,6.205555556,pos,110,Positive
456,4,2,20,1,-1.67577381,neg,378,Negative
457,7,2,1,0,1.067878788,pos,235,Positive
458,4,1,2,1,0.030050505,pos,158,Neutral
459,3,0,2,1,-0.068478261,neg,79,Neutral
460,0,0,1,0,0.083333333,pos,32,Neutral
461,5,3,2,0,5.093333333,pos,74,Positive
462,2,2,4,0,-0.315,neg,82,Negative
463,13,5,8,2,1.699805556,pos,366,Positive
464,3,1,1,2,2.383134921,pos,128,Positive
465,3,0,3,1,1.961111111,pos,98,Positive
466,5,0,2,0,1.722916667,pos,130,Positive
467,6,0,2,0,2.475,pos,129,Positive
468,1,0,1,0,-0.267328042,neg,43,Negative
469,3,0,0,0,1.316666667,pos,28,Positive
470,10,2,6,2,-0.032630952,neg,143,Neutral
471,1,0,4,0,-1.44375,neg,107,Negative
472,5,2,5,0,1.197136544,pos,162,Positive
473,12,2,8,3,3.002728175,pos,360,Positive
474,3,2,2,1,1.103055556,pos,70,Positive
475,9,2,5,0,1.772878788,pos,207,Positive
476,6,2,1,0,1.221590909,pos,225,Positive
477,1,1,8,3,-3.645833333,neg,121,Negative
478,2,2,3,0,2.245714286,pos,140,Positive
479,10,1,0,1,0.573004808,pos,187,Positive
480,2,3,2,2,0.632626263,pos,125,Positive
481,2,1,0,0,0.782361111,pos,91,Positive
482,1,0,2,0,0.138939394,pos,44,Neutral
483,1,1,1,0,-0.068333333,neg,44,Neutral
484,2,0,1,2,1.690714286,pos,88,Positive
485,2,2,6,1,-1.054166667,neg,97,Negative
486,1,0,8,0,-0.592797619,neg,66,Negative
487,12,1,5,0,4.916666667,pos,185,Positive
488,1,2,4,0,0.50719697,pos,196,Positive
489,2,0,8,1,-0.73375,neg,164,Negative
490,1,0,0,0,1.329166667,pos,88,Positive
491,1,0,0,0,1.1,pos,30,Positive
492,8,1,8,3,0.819370233,pos,228,Positive
493,0,2,0,0,0.478472222,pos,110,Positive
494,6,2,2,0,2.785,pos,115,Positive
495,1,0,5,1,-0.896469907,neg,134,Negative
496,3,0,1,0,1.354166667,pos,88,Positive
497,2,1,1,0,-0.153226496,neg,82,Neutral
498,2,0,2,0,-1.375,neg,109,Negative
499,25,7,8,3,5.304644661,pos,533,Positive
500,7,1,3,0,1.877222222,pos,109,Positive
501,4,0,3,0,1.128125,pos,72,Positive
502,6,0,3,0,2.295,pos,96,Positive
503,1,0,3,1,-0.2375,neg,70,Negative
504,4,1,2,0,3.361914683,pos,136,Positive
505,2,1,0,0,0.620833333,pos,83,Positive
506,1,0,1,0,0.16875,pos,50,Neutral
